sale_id,date,product_type,product,unit_price,net_quantity,discount_percentage,historical_average_competitor_price,net_sales
8.73E+12,2020-11-11 01:39:33+03:00,bathing and skin care,mamia sensitive bathing and skin care 64 bathing and skin care,200,1,0,237.3492832,200
8.75E+12,2020-11-16 16:43:01+03:00,baby formula,nannycare growing up milk goat milk based 3 from 1 to 3 years 900 g,4500,2,0,9493.021931,9000
8.75E+12,2020-11-16 16:49:47+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,3000,1,0,3360.86585,3000
8.75E+12,2020-11-16 16:56:04+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,3000,1,0,3360.86585,3000
8.75E+12,2020-11-16 16:59:30+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,3000,1,0,3360.86585,3000
8.75E+12,2020-11-16 16:59:30+03:00,baby formula,aptamil stage 2 follow on milk powder 800 g,3000,6,0,3607.709105,18000
8.76E+12,2020-11-17 12:16:25+03:00,baby formula,aptamil stage 3 toddler milk powder 800 g,3000,1,0,3607.709105,3000
8.76E+12,2020-11-17 12:22:35+03:00,baby formula,nannycare growing up milk goat milk based 3 from 1 to 3 years 900 g,4500,1,0,9493.021931,4500
8.76E+12,2020-11-17 12:22:35+03:00,baby formula,nannycare 2 follow on milk goat milk based from 6 months 900 g,4500,3,0,9493.021931,13500
8.76E+12,2020-11-17 12:26:52+03:00,feeding and weaning,aptamil creamed banana 125 g,900,1,0,1897.844869,900
8.76E+12,2020-11-17 12:26:52+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,3000,1,0,3360.86585,3000
8.76E+12,2020-11-17 15:01:44+03:00,bathing and skin care,little angels sensitive baby 64 wipes,220,12,0,664.577993,2640
8.76E+12,2020-11-18 11:26:38+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,3000,1,0,3360.86585,3000
8.76E+12,2020-11-18 17:05:49+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,3000,1,0,3360.86585,3000
8.77E+12,2020-11-19 15:03:00+03:00,bathing and skin care,little angels sensitive baby 64 wipes,220,4,0,664.577993,880
8.77E+12,2020-11-19 15:03:00+03:00,baby formula,aptamil stage 3 toddler milk powder 800 g,3000,1,0,3607.709105,3000
8.77E+12,2020-11-19 15:03:00+03:00,feeding and weaning,aptamil creamed banana 125 g,900,1,0,1897.844869,900
8.77E+12,2020-11-20 12:09:42+03:00,baby formula,aptamil stage 2 follow on milk powder 800 g,3000,1,0,3607.709105,3000
8.77E+12,2020-11-20 12:58:00+03:00,baby formula,nannycare growing up milk goat milk based 3 from 1 to 3 years 900 g,4500,6,0,9493.021931,27000
8.77E+12,2020-11-20 15:54:00+03:00,baby formula,nannycare 2 follow on milk goat milk based from 6 months 900 g,4500,1,0,9493.021931,4500
8.78E+12,2020-11-21 13:51:14+03:00,baby formula,nannycare 2 follow on milk goat milk based from 6 months 900 g,4500,1,0,9493.021931,4500
8.79E+12,2020-11-23 10:18:35+03:00,baby formula,aptamil stage 2 follow on milk powder 800 g,3000,2,0,3607.709105,6000
8.79E+12,2020-11-23 12:14:51+03:00,baby formula,aptamil stage 2 follow on milk powder 800 g,3000,1,0,3607.709105,3000
8.79E+12,2020-11-23 13:19:32+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,3000,1,0,3360.86585,3000
8.79E+12,2020-11-23 13:22:33+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,3000,1,0,3360.86585,3000
8.80E+12,2020-11-24 13:42:24+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,3000,1,0,3360.86585,3000
8.80E+12,2020-11-24 13:44:28+03:00,feeding and weaning,aptamil creamed banana 125 g,900,1,0,1897.844869,900
8.80E+12,2020-11-24 16:22:56+03:00,baby formula,aptamil stage 3 toddler milk powder 800 g,3000,1,0,3607.709105,3000
8.80E+12,2020-11-25 13:51:38+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,3000,1,0,3360.86585,3000
8.80E+12,2020-11-25 17:07:04+03:00,feeding and weaning,aptamil creamed banana 125 g,900,1,0,1897.844869,900
8.80E+12,2020-11-25 17:07:04+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,3000,1,0,3360.86585,3000
8.81E+12,2020-11-26 14:20:39+03:00,baby formula,nannycare 2 follow on milk goat milk based from 6 months 900 g,4500,2,0,9493.021931,9000
8.81E+12,2020-11-26 15:42:16+03:00,baby formula,aptamil stage 2 follow on milk powder 800 g,3000,3,0,3607.709105,9000
8.81E+12,2020-11-26 16:07:01+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,3000,1,0,3360.86585,3000
8.81E+12,2020-11-26 18:25:03+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,3000,1,0,3360.86585,3000
8.82E+12,2020-11-27 12:22:09+03:00,baby formula,aptamil stage 2 follow on milk powder 800 g,3000,1,0,3607.709105,3000
8.83E+12,2020-11-28 12:48:01+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,2600,4,0,3360.86585,10400
8.83E+12,2020-11-28 14:14:27+03:00,baby formula,aptamil stage 2 follow on milk powder 800 g,2600,1,0,3607.709105,2600
8.83E+12,2020-11-28 14:14:27+03:00,baby formula,aptamil stage 3 toddler milk powder 800 g,2600,1,0,3607.709105,2600
8.83E+12,2020-11-28 14:19:39+03:00,baby formula,aptamil stage 1 first infant milk powder 800 g,2600,3,0,3360.86585,7800
