matched_user_product_original,min_price_across_sources,max_price_across_sources,avg_price_across_sources,jumia_price,tot_price,peekaboo_price
aptamil creamed banana 125 g,1000.0,2950.0,1983.0,1999.0,1000.0,
aptamil creamed porridge 4 month plus 125 g,1000.0,1999.0,1466.0,1999.0,1000.0,
aptamil stage 1 first infant milk powder 800 g,1800.0,9999.0,4104.0,,1800.0,3540.0
aptamil stage 2 follow on milk powder 800 g,3800.0,7000.0,5600.0,,3800.0,
aptamil stage 3 toddler milk powder 800 g,2279.0,7000.0,4822.0,2279.0,3800.0,
cow and gate creamy porridge 4-6 months 125 g,1200.0,3250.0,1775.0,1500.0,1200.0,
hipp organic 1 first milk powder 800 g,5000.0,6000.0,5600.0,,5000.0,5799.0
hipp organic 3 growing up milk 600 g,1850.0,5799.0,4216.0,,5000.0,1850.0
hipp organic combiotic follow on milk 800 g,5000.0,5799.0,5400.0,,5000.0,5799.0
kendamil organic first infant milk 800 g,5000.0,9699.0,6440.0,9699.0,5000.0,
kendamil organic follow on milk 6-12 months 800 g,5000.0,8999.0,6125.0,8999.0,5000.0,
little angels sensitive baby 64 wipes,320.0,4070.0,987.0,399.0,1200.0,320.0
mamia sensitive bathing and skin care 64 bathing and skin care,622.0,3500.0,1994.0,622.0,2800.0,695.0
nannycare 1 formula first infant goat milk 900 g 0-6 months,1470.0,3500.0,2430.0,2799.0,,1470.0
nannycare 2 follow on milk goat milk based from 6 months 900 g,9999.0,9999.0,9999.0,,,9999.0
nannycare growing up milk goat milk based 3 from 1 to 3 years 900 g,3500.0,9999.0,6750.0,,,3500.0
waterwipes bathing and skin care sensitive newborn skin 1 pk 60 unscented wipes,600.0,7200.0,3900.0,,600.0,
